,trials,x,z,z_scaled,kernel,globalmax,t,id,environment,Unnamed: 0.1,horizons,agent,Edistance
80,3,22,70.52420838792563,53,38,74,0.2,10,rough,3.0,10.0,per_gpt,1
81,4,23,57.30206631586978,43,38,74,0.2,10,rough,4.0,10.0,per_gpt,1
82,5,24,32.99642177646217,26,38,74,0.2,10,rough,5.0,10.0,per_gpt,1
83,6,22,70.52420838792563,53,38,74,0.2,10,rough,6.0,10.0,per_gpt,2
84,7,23,57.30206631586978,42,38,74,0.2,10,rough,7.0,10.0,per_gpt,1
85,8,22,70.52420838792563,52,38,74,0.2,10,rough,8.0,10.0,per_gpt,1
86,9,23,57.30206631586978,42,38,74,0.2,10,rough,9.0,10.0,per_gpt,1
87,10,22,70.52420838792563,51,38,74,0.2,10,rough,10.0,10.0,per_gpt,1
88,0,16,85.94131523194399,51,1,60,0.6,110,rough,0.0,5.0,per_gpt,-1
89,1,17,68.23647950374722,40,1,60,0.6,110,rough,1.0,5.0,per_gpt,1
90,2,15,86.7918144280984,52,1,60,0.6,110,rough,2.0,5.0,per_gpt,2
91,3,18,20.05357558954023,16,1,60,0.6,110,rough,3.0,5.0,per_gpt,3
92,4,15,86.7918144280984,52,1,60,0.6,110,rough,4.0,5.0,per_gpt,3
93,5,19,0.0,0,1,60,0.6,110,rough,5.0,5.0,per_gpt,4
94,0,6,70.9810145746377,55,15,75,0.8,111,rough,0.0,5.0,per_gpt,-1
95,1,7,76.58262245616496,58,15,75,0.8,111,rough,1.0,5.0,per_gpt,1
96,2,8,63.60666488499358,48,15,75,0.8,111,rough,2.0,5.0,per_gpt,1
97,3,9,58.59618548382588,46,15,75,0.8,111,rough,3.0,5.0,per_gpt,1
98,4,6,70.9810145746377,54,15,75,0.8,111,rough,4.0,5.0,per_gpt,3
99,5,7,76.58262245616496,56,15,75,0.8,111,rough,5.0,5.0,per_gpt,1
100,0,20,14.581749675322689,11,7,69,0.0,112,rough,0.0,5.0,per_gpt,-1
101,1,19,35.838997480669235,26,7,69,0.0,112,rough,1.0,5.0,per_gpt,1
102,2,21,56.220827971697474,41,7,69,0.0,112,rough,2.0,5.0,per_gpt,2
103,3,22,100.0,69,7,69,0.0,112,rough,3.0,5.0,per_gpt,1
104,4,23,72.68443233895277,51,7,69,0.0,112,rough,4.0,5.0,per_gpt,1
105,5,24,38.762589327331,28,7,69,0.0,112,rough,5.0,5.0,per_gpt,1
106,0,25,49.57695194975224,28,17,61,0.2,113,rough,0.0,5.0,per_gpt,-1
107,1,24,29.54206500372349,17,17,61,0.2,113,rough,1.0,5.0,per_gpt,1
108,2,26,50.837389412921,32,17,61,0.2,113,rough,2.0,5.0,per_gpt,2
109,3,27,54.90802756920385,36,17,61,0.2,113,rough,3.0,5.0,per_gpt,1
110,4,28,64.27444382856763,40,17,61,0.2,113,rough,4.0,5.0,per_gpt,1
111,5,29,87.14406805005027,54,17,61,0.2,113,rough,5.0,5.0,per_gpt,1
112,0,24,27.24262820992521,18,5,73,0.4,114,rough,0.0,5.0,per_gpt,-1
113,1,23,40.05841299083471,30,5,73,0.4,114,rough,1.0,5.0,per_gpt,1
114,2,22,55.44472142397148,42,5,73,0.4,114,rough,2.0,5.0,per_gpt,1
115,3,21,65.33633979104735,50,5,73,0.4,114,rough,3.0,5.0,per_gpt,1
116,4,22,55.44472142397148,40,5,73,0.4,114,rough,4.0,5.0,per_gpt,1
117,5,23,40.05841299083471,29,5,73,0.4,114,rough,5.0,5.0,per_gpt,1
118,0,7,50.53684940518911,35,0,70,0.6,115,rough,0.0,5.0,per_gpt,-1
119,1,8,74.40650857610247,52,0,70,0.6,115,rough,1.0,5.0,per_gpt,1
120,2,9,95.52038482559212,67,0,70,0.6,115,rough,2.0,5.0,per_gpt,1
121,3,10,74.82169457852379,52,0,70,0.6,115,rough,3.0,5.0,per_gpt,1
122,4,11,42.86467174000505,30,0,70,0.6,115,rough,4.0,5.0,per_gpt,1
123,5,9,95.52038482559212,66,0,70,0.6,115,rough,5.0,5.0,per_gpt,2
124,0,10,100.0,74,20,73,0.8,116,rough,0.0,5.0,per_gpt,-1
125,1,9,50.040976858037965,37,20,73,0.8,116,rough,1.0,5.0,per_gpt,1
126,2,11,70.69256952351188,52,20,73,0.8,116,rough,2.0,5.0,per_gpt,2
127,3,12,45.21617528621696,32,20,73,0.8,116,rough,3.0,5.0,per_gpt,1
128,4,11,70.69256952351188,52,20,73,0.8,116,rough,4.0,5.0,per_gpt,1
129,5,13,46.18200015418462,34,20,73,0.8,116,rough,5.0,5.0,per_gpt,2
130,0,5,16.94480926269691,11,6,62,0.0,117,rough,0.0,5.0,per_gpt,-1
131,1,6,31.370277346534348,19,6,62,0.0,117,rough,1.0,5.0,per_gpt,1
132,2,7,37.444455240846395,24,6,62,0.0,117,rough,2.0,5.0,per_gpt,1
133,3,8,8.09117159078142,6,6,62,0.0,117,rough,3.0,5.0,per_gpt,1
134,4,7,37.444455240846395,24,6,62,0.0,117,rough,4.0,5.0,per_gpt,1
135,5,6,31.370277346534348,20,6,62,0.0,117,rough,5.0,5.0,per_gpt,1
136,0,15,67.87040437867742,42,23,61,0.2,118,rough,0.0,5.0,per_gpt,-1
137,1,14,68.59250998356424,40,23,61,0.2,118,rough,1.0,5.0,per_gpt,1
138,2,16,81.68598723679837,49,23,61,0.2,118,rough,2.0,5.0,per_gpt,2
139,3,17,89.2074689064824,55,23,61,0.2,118,rough,3.0,5.0,per_gpt,1
140,4,18,66.6395086469638,40,23,61,0.2,118,rough,4.0,5.0,per_gpt,1
141,5,19,50.397917835038555,29,23,61,0.2,118,rough,5.0,5.0,per_gpt,1
142,0,1,77.43258240810658,50,3,65,0.4,119,rough,0.0,5.0,per_gpt,-1
143,1,2,77.48911627662383,49,3,65,0.4,119,rough,1.0,5.0,per_gpt,1
144,2,3,57.7154421655306,37,3,65,0.4,119,rough,2.0,5.0,per_gpt,1
145,3,4,42.15831457575141,28,3,65,0.4,119,rough,3.0,5.0,per_gpt,1
146,4,5,37.34525299238103,25,3,65,0.4,119,rough,4.0,5.0,per_gpt,1
147,5,6,21.97532723804139,15,3,65,0.4,119,rough,5.0,5.0,per_gpt,1
148,0,7,27.22430179886226,21,19,78,0.4,11,rough,0.0,10.0,per_gpt,-1
149,1,8,50.35127606287736,39,19,78,0.4,11,rough,1.0,10.0,per_gpt,1
150,2,9,51.85585717629998,40,19,78,0.4,11,rough,2.0,10.0,per_gpt,1
151,3,10,54.88188641039034,43,19,78,0.4,11,rough,3.0,10.0,per_gpt,1
152,4,11,74.59675833050228,57,19,78,0.4,11,rough,4.0,10.0,per_gpt,1
153,5,12,88.42934598303646,70,19,78,0.4,11,rough,5.0,10.0,per_gpt,1
154,6,13,100.0,78,19,78,0.4,11,rough,6.0,10.0,per_gpt,1
155,7,14,96.36546096148284,75,19,78,0.4,11,rough,7.0,10.0,per_gpt,1
156,8,15,96.54237027436137,77,19,78,0.4,11,rough,8.0,10.0,per_gpt,1
157,9,14,96.36546096148284,77,19,78,0.4,11,rough,9.0,10.0,per_gpt,1
158,10,13,100.0,79,19,78,0.4,11,rough,10.0,10.0,per_gpt,1
159,0,9,84.05808456138621,52,21,62,0.6,120,rough,0.0,5.0,per_gpt,-1
160,1,10,56.83602999938835,37,21,62,0.6,120,rough,1.0,5.0,per_gpt,1
161,2,8,100.0,63,21,62,0.6,120,rough,2.0,5.0,per_gpt,2
162,3,7,57.330198803611175,36,21,62,0.6,120,rough,3.0,5.0,per_gpt,1
163,4,9,84.05808456138621,52,21,62,0.6,120,rough,4.0,5.0,per_gpt,2
164,5,8,100.0,62,21,62,0.6,120,rough,5.0,5.0,per_gpt,1
165,0,14,35.543198466383956,27,33,80,0.8,121,rough,0.0,5.0,per_gpt,-1
166,1,13,30.6270934850429,28,33,80,0.8,121,rough,1.0,5.0,per_gpt,1
167,2,15,69.74800921499919,54,33,80,0.8,121,rough,2.0,5.0,per_gpt,2
168,3,16,62.835571058293446,50,33,80,0.8,121,rough,3.0,5.0,per_gpt,1
169,4,17,48.55516678212551,38,33,80,0.8,121,rough,4.0,5.0,per_gpt,1
170,5,18,73.29903376579091,59,33,80,0.8,121,rough,5.0,5.0,per_gpt,1
171,0,14,0.0,0,20,73,0.0,122,rough,0.0,5.0,per_gpt,-1
172,1,15,28.93261012798082,23,20,73,0.0,122,rough,1.0,5.0,per_gpt,1
173,2,16,47.29404948031451,33,20,73,0.0,122,rough,2.0,5.0,per_gpt,1
174,3,17,33.11263310673438,25,20,73,0.0,122,rough,3.0,5.0,per_gpt,1
175,4,18,59.450095416956216,45,20,73,0.0,122,rough,4.0,5.0,per_gpt,1
176,5,19,54.449039465566194,39,20,73,0.0,122,rough,5.0,5.0,per_gpt,1
177,0,19,0.0,0,10,80,0.2,123,rough,0.0,5.0,per_gpt,-1
178,1,18,14.93996640954031,11,10,80,0.2,123,rough,1.0,5.0,per_gpt,1
179,2,17,51.87488927640268,41,10,80,0.2,123,rough,2.0,5.0,per_gpt,1
180,3,16,100.0,80,10,80,0.2,123,rough,3.0,5.0,per_gpt,1
181,4,15,62.15778629619544,52,10,80,0.2,123,rough,4.0,5.0,per_gpt,1
182,5,14,55.617281832915765,44,10,80,0.2,123,rough,5.0,5.0,per_gpt,1
183,0,17,26.62463087682369,20,2,76,0.4,124,rough,0.0,5.0,per_gpt,-1
184,1,18,54.206433629059944,43,2,76,0.4,124,rough,1.0,5.0,per_gpt,1
185,2,19,22.329970097615558,16,2,76,0.4,124,rough,2.0,5.0,per_gpt,1
186,3,16,0.0,0,2,76,0.4,124,rough,3.0,5.0,per_gpt,3
187,4,18,54.206433629059944,41,2,76,0.4,124,rough,4.0,5.0,per_gpt,2
188,5,20,26.241736595197402,20,2,76,0.4,124,rough,5.0,5.0,per_gpt,2
189,0,12,70.99794034296423,54,33,77,0.6,125,rough,0.0,5.0,per_gpt,-1
190,1,13,30.6270934850429,23,33,77,0.6,125,rough,1.0,5.0,per_gpt,1
191,2,11,86.05779054676186,66,33,77,0.6,125,rough,2.0,5.0,per_gpt,2
192,3,10,56.88995775163305,44,33,77,0.6,125,rough,3.0,5.0,per_gpt,1
193,4,14,35.543198466383956,27,33,77,0.6,125,rough,4.0,5.0,per_gpt,4
194,5,11,86.05779054676186,66,33,77,0.6,125,rough,5.0,5.0,per_gpt,3
195,0,3,10.42706650637551,6,12,68,0.8,126,rough,0.0,5.0,per_gpt,-1
196,1,4,12.60834807113665,7,12,68,0.8,126,rough,1.0,5.0,per_gpt,1
197,2,5,55.03712021650681,38,12,68,0.8,126,rough,2.0,5.0,per_gpt,1
198,3,6,35.96926243455298,23,12,68,0.8,126,rough,3.0,5.0,per_gpt,1
199,4,5,55.03712021650681,39,12,68,0.8,126,rough,4.0,5.0,per_gpt,1
200,5,6,35.96926243455298,26,12,68,0.8,126,rough,5.0,5.0,per_gpt,1
201,0,27,70.07990645578091,45,23,64,0.0,127,rough,0.0,5.0,per_gpt,-1
202,1,26,94.18013116297989,60,23,64,0.0,127,rough,1.0,5.0,per_gpt,1
203,2,25,100.0,64,23,64,0.0,127,rough,2.0,5.0,per_gpt,1
204,3,24,70.46905508594735,46,23,64,0.0,127,rough,3.0,5.0,per_gpt,1
205,4,28,87.3062679733712,55,23,64,0.0,127,rough,4.0,5.0,per_gpt,4
206,5,29,94.9224105566015,60,23,64,0.0,127,rough,5.0,5.0,per_gpt,1
207,0,8,83.42298616851657,62,8,73,1.0,128,smooth,0.0,10.0,per_gpt,-1
208,1,9,95.45863959984455,71,8,73,1.0,128,smooth,1.0,10.0,per_gpt,1
209,2,10,100.0,72,8,73,1.0,128,smooth,2.0,10.0,per_gpt,1
210,3,11,95.03491713282912,67,8,73,1.0,128,smooth,3.0,10.0,per_gpt,1
211,4,12,85.72766181145714,63,8,73,1.0,128,smooth,4.0,10.0,per_gpt,1
212,5,13,74.74229379171358,54,8,73,1.0,128,smooth,5.0,10.0,per_gpt,1
213,6,9,95.45863959984455,68,8,73,1.0,128,smooth,6.0,10.0,per_gpt,4
214,7,10,100.0,72,8,73,1.0,128,smooth,7.0,10.0,per_gpt,1
215,8,11,95.03491713282912,68,8,73,1.0,128,smooth,8.0,10.0,per_gpt,1
216,9,8,83.42298616851657,61,8,73,1.0,128,smooth,9.0,10.0,per_gpt,3
217,10,9,95.45863959984455,70,8,73,1.0,128,smooth,10.0,10.0,per_gpt,1
218,0,25,31.32798475595489,21,19,62,0.2,129,rough,0.0,5.0,per_gpt,-1
219,1,26,45.52916046228112,28,19,62,0.2,129,rough,1.0,5.0,per_gpt,1
220,2,27,51.59010349805373,32,19,62,0.2,129,rough,2.0,5.0,per_gpt,1
221,3,28,31.543951166824208,20,19,62,0.2,129,rough,3.0,5.0,per_gpt,1
222,4,29,53.35744642555847,33,19,62,0.2,129,rough,4.0,5.0,per_gpt,1
223,5,30,52.26178625142612,31,19,62,0.2,129,rough,5.0,5.0,per_gpt,1
224,0,18,23.23188442879064,17,28,74,0.0,12,rough,0.0,10.0,per_gpt,-1
225,1,19,63.6846270253349,47,28,74,0.0,12,rough,1.0,10.0,per_gpt,1
226,2,20,96.52127306083894,71,28,74,0.0,12,rough,2.0,10.0,per_gpt,1
227,3,21,100.0,73,28,74,0.0,12,rough,3.0,10.0,per_gpt,1
228,4,22,73.02456119046754,53,28,74,0.0,12,rough,4.0,10.0,per_gpt,1
229,5,23,42.64702750244219,31,28,74,0.0,12,rough,5.0,10.0,per_gpt,1
230,6,19,63.6846270253349,47,28,74,0.0,12,rough,6.0,10.0,per_gpt,4
231,7,20,96.52127306083894,69,28,74,0.0,12,rough,7.0,10.0,per_gpt,1
232,8,21,100.0,73,28,74,0.0,12,rough,8.0,10.0,per_gpt,1
233,9,22,73.02456119046754,54,28,74,0.0,12,rough,9.0,10.0,per_gpt,1
234,10,20,96.52127306083894,73,28,74,0.0,12,rough,10.0,10.0,per_gpt,2
235,0,20,82.9469592728304,50,8,61,0.4,130,rough,0.0,5.0,per_gpt,-1
236,1,19,100.0,59,8,61,0.4,130,rough,1.0,5.0,per_gpt,1
237,2,21,29.95258393964817,20,8,61,0.4,130,rough,2.0,5.0,per_gpt,2
238,3,19,100.0,61,8,61,0.4,130,rough,3.0,5.0,per_gpt,2
239,4,18,53.02106499335952,30,8,61,0.4,130,rough,4.0,5.0,per_gpt,1
240,5,19,100.0,61,8,61,0.4,130,rough,5.0,5.0,per_gpt,1
241,0,3,29.55272584909711,18,4,63,0.6,131,rough,0.0,5.0,per_gpt,-1
242,1,4,52.86920448121384,33,4,63,0.6,131,rough,1.0,5.0,per_gpt,1
243,2,5,50.15230650563453,33,4,63,0.6,131,rough,2.0,5.0,per_gpt,1
244,3,6,41.74068480812776,27,4,63,0.6,131,rough,3.0,5.0,per_gpt,1
245,4,4,52.86920448121384,32,4,63,0.6,131,rough,4.0,5.0,per_gpt,2
246,5,5,50.15230650563453,32,4,63,0.6,131,rough,5.0,5.0,per_gpt,1
247,0,24,32.99642177646217,23,38,75,0.8,132,rough,0.0,5.0,per_gpt,-1
248,1,23,57.30206631586978,43,38,75,0.8,132,rough,1.0,5.0,per_gpt,1
249,2,22,70.52420838792563,51,38,75,0.8,132,rough,2.0,5.0,per_gpt,1
250,3,21,19.38193418110108,15,38,75,0.8,132,rough,3.0,5.0,per_gpt,1
251,4,23,57.30206631586978,42,38,75,0.8,132,rough,4.0,5.0,per_gpt,2
252,5,24,32.99642177646217,24,38,75,0.8,132,rough,5.0,5.0,per_gpt,1
253,0,29,40.8970258680955,35,12,80,0.0,133,rough,0.0,5.0,per_gpt,-1
254,1,28,8.38380014718469,9,12,80,0.0,133,rough,1.0,5.0,per_gpt,1
255,2,30,53.65913863312441,40,12,80,0.0,133,rough,2.0,5.0,per_gpt,2
256,3,27,0.0,0,12,80,0.0,133,rough,3.0,5.0,per_gpt,3
257,4,30,53.65913863312441,42,12,80,0.0,133,rough,4.0,5.0,per_gpt,3
258,5,29,40.8970258680955,33,12,80,0.0,133,rough,5.0,5.0,per_gpt,1
259,0,18,72.6775458708558,51,18,69,0.2,134,rough,0.0,5.0,per_gpt,-1
260,1,17,39.37130142647242,27,18,69,0.2,134,rough,1.0,5.0,per_gpt,1
261,2,19,42.24570493101173,29,18,69,0.2,134,rough,2.0,5.0,per_gpt,2
262,3,20,18.04696738433603,12,18,69,0.2,134,rough,3.0,5.0,per_gpt,1
263,4,19,42.24570493101173,28,18,69,0.2,134,rough,4.0,5.0,per_gpt,1
264,5,18,72.6775458708558,50,18,69,0.2,134,rough,5.0,5.0,per_gpt,1
265,0,2,48.32652904273229,38,4,77,0.4,135,rough,0.0,5.0,per_gpt,-1
266,1,3,29.55272584909711,25,4,77,0.4,135,rough,1.0,5.0,per_gpt,1
267,2,4,52.86920448121384,43,4,77,0.4,135,rough,2.0,5.0,per_gpt,1
268,3,5,50.15230650563453,38,4,77,0.4,135,rough,3.0,5.0,per_gpt,1
269,4,6,41.74068480812776,32,4,77,0.4,135,rough,4.0,5.0,per_gpt,1
270,5,4,52.86920448121384,40,4,77,0.4,135,rough,5.0,5.0,per_gpt,2
271,0,26,59.489904743601315,45,38,77,0.6,136,rough,0.0,5.0,per_gpt,-1
272,1,25,39.32196104924905,30,38,77,0.6,136,rough,1.0,5.0,per_gpt,1
273,2,27,56.315676766431,43,38,77,0.6,136,rough,2.0,5.0,per_gpt,2
274,3,28,55.10382329732314,41,38,77,0.6,136,rough,3.0,5.0,per_gpt,1
275,4,29,79.6405563065162,63,38,77,0.6,136,rough,4.0,5.0,per_gpt,1
276,5,30,100.0,76,38,77,0.6,136,rough,5.0,5.0,per_gpt,1
277,0,16,62.21130365145547,37,27,61,0.8,137,rough,0.0,5.0,per_gpt,-1
278,1,17,75.55603954098976,46,27,61,0.8,137,rough,1.0,5.0,per_gpt,1
279,2,18,100.0,60,27,61,0.8,137,rough,2.0,5.0,per_gpt,1
280,3,19,83.7687101803423,52,27,61,0.8,137,rough,3.0,5.0,per_gpt,1
281,4,20,79.95467053596134,47,27,61,0.8,137,rough,4.0,5.0,per_gpt,1
282,5,21,29.52536112595885,18,27,61,0.8,137,rough,5.0,5.0,per_gpt,1
283,0,29,41.348164465673186,30,2,76,0.0,138,rough,0.0,5.0,per_gpt,-1
284,1,28,50.471578410075836,40,2,76,0.0,138,rough,1.0,5.0,per_gpt,1
285,2,27,46.24724616134172,34,2,76,0.0,138,rough,2.0,5.0,per_gpt,1
286,3,30,54.26981603114386,41,2,76,0.0,138,rough,3.0,5.0,per_gpt,3
287,4,26,63.539548436390916,48,2,76,0.0,138,rough,4.0,5.0,per_gpt,4
288,5,25,63.14817855314118,48,2,76,0.0,138,rough,5.0,5.0,per_gpt,1
289,0,6,34.352476039347465,26,24,74,0.2,139,rough,0.0,5.0,per_gpt,-1
290,1,7,32.20277543337718,24,24,74,0.2,139,rough,1.0,5.0,per_gpt,1
291,2,8,52.15630870004625,38,24,74,0.2,139,rough,2.0,5.0,per_gpt,1
292,3,9,19.64169934092946,15,24,74,0.2,139,rough,3.0,5.0,per_gpt,1
293,4,8,52.15630870004625,38,24,74,0.2,139,rough,4.0,5.0,per_gpt,1
294,5,7,32.20277543337718,24,24,74,0.2,139,rough,5.0,5.0,per_gpt,1
295,0,2,12.40941286314462,10,12,77,0.2,13,rough,0.0,10.0,per_gpt,-1
296,1,3,10.42706650637551,8,12,77,0.2,13,rough,1.0,10.0,per_gpt,1
297,2,4,12.60834807113665,11,12,77,0.2,13,rough,2.0,10.0,per_gpt,1
298,3,5,55.03712021650681,42,12,77,0.2,13,rough,3.0,10.0,per_gpt,1
299,4,6,35.96926243455298,28,12,77,0.2,13,rough,4.0,10.0,per_gpt,1
300,5,7,6.24294832780476,5,12,77,0.2,13,rough,5.0,10.0,per_gpt,1
301,6,5,55.03712021650681,40,12,77,0.2,13,rough,6.0,10.0,per_gpt,2
302,7,4,12.60834807113665,9,12,77,0.2,13,rough,7.0,10.0,per_gpt,1
303,8,5,55.03712021650681,45,12,77,0.2,13,rough,8.0,10.0,per_gpt,1
304,9,6,35.96926243455298,28,12,77,0.2,13,rough,9.0,10.0,per_gpt,1
305,10,5,55.03712021650681,42,12,77,0.2,13,rough,10.0,10.0,per_gpt,1
306,0,27,48.30834947879356,30,6,63,0.4,140,rough,0.0,5.0,per_gpt,-1
307,1,26,97.63356965186142,60,6,63,0.4,140,rough,1.0,5.0,per_gpt,1
308,2,25,100.0,63,6,63,0.4,140,rough,2.0,5.0,per_gpt,1
309,3,24,65.90812806609082,43,6,63,0.4,140,rough,3.0,5.0,per_gpt,1
310,4,28,29.3347055914774,19,6,63,0.4,140,rough,4.0,5.0,per_gpt,4
